Process,Function,Job,Discipline,Description,Word_Count,Edited_Description,Valence,Arousal,Dominance,Auditory,Gustatory,Haptic,Interoceptive,Olfactory,Visual,Foot_leg,Hand_arm,Head,Mouth,Torso,Valence_Category,Arousal_Category,Dominance_Category,Auditory_Category,Gustatory_Category,Haptic_Category,Interoceptive_Category,Olfactory_Category,Visual_Category,Foot_leg_Category,Hand_arm_Category,Head_Category,Mouth_Category,Torso_Category
Researchers,Technologists/Researchers,Analytical textiles technologist,Fashion & Textiles,"An Analytical Textiles Technologist is a specialist who focuses on analyzing the properties and performance of textiles and fabrics. This role involves conducting detailed testing to evaluate the durability, comfort, and functionality of textile products. They use various scientific methods and instruments to assess characteristics such as tensile strength, elasticity, color fastness, and resistance to wear and tear. Their findings help in developing new textile products, improving existing ones, and ensuring that fabrics meet industry standards and regulations. They often work closely with designers, manufacturers, and quality assurance teams to innovate and enhance textile materials for various applications, including fashion, sportswear, and industrial uses.",104,"['analytical', 'textiles', 'technologist', 'specialist', 'focus', 'analyzing', 'property', 'performance', 'textile', 'fabric', 'role', 'involves', 'conducting', 'detailed', 'testing', 'evaluate', 'durability', 'comfort', 'functionality', 'textile', 'product', 'use', 'various', 'scientific', 'method', 'instrument', 'ass', 'characteristic', 'tensile', 'strength', 'elasticity', 'color', 'fastness', 'resistance', 'wear', 'tear', 'finding', 'help', 'developing', 'new', 'textile', 'product', 'improving', 'existing', 'one', 'ensuring', 'fabric', 'meet', 'industry', 'standard', 'regulation', 'often', 'work', 'closely', 'designer', 'manufacturer', 'quality', 'assurance', 'team', 'innovate', 'enhance', 'textile', 'material', 'various', 'application', 'including', 'fashion', 'sportswear', 'industrial', 'us']",0.6312614034102373,0.5046849021681367,0.5934658814284497,1.524607471609375,0.4456162271406251,1.771963151609375,1.066142479828125,0.588433086703125,3.208798053656249,1.2693471559687504,2.1061021769687502,2.579168099015624,1.3449300441874998,1.2084464607968748,Moderate,Moderate,Extremely Low,Low,High,High,Moderate,High,Moderate,High,High,Low,Moderate,High
Researchers,Technologists/Researchers,Architectural technologist,Architecture & Interiors,"An Architectural Technologist plays a crucial role in the design and construction of buildings, combining creativity with technical expertise to bring architectural concepts to life. They are responsible for developing detailed building plans and specifications, using advanced software to create precise architectural drawings and 3D models. Architectural Technologists ensure that designs are practical, sustainable, and compliant with building codes and regulations. They work closely with architects, engineers, contractors, and clients throughout the construction process, addressing technical challenges and making sure projects are completed efficiently and to high standards of quality and safety.",92,"['architectural', 'technologist', 'play', 'crucial', 'role', 'design', 'construction', 'building', 'combining', 'creativity', 'technical', 'expertise', 'bring', 'architectural', 'concept', 'life', 'responsible', 'developing', 'detailed', 'building', 'plan', 'specification', 'using', 'advanced', 'software', 'create', 'precise', 'architectural', 'drawing', '3d', 'model', 'architectural', 'technologists', 'ensure', 'design', 'practical', 'sustainable', 'compliant', 'building', 'code', 'regulation', 'work', 'closely', 'architect', 'engineer', 'contractor', 'client', 'throughout', 'construction', 'process', 'addressing', 'technical', 'challenge', 'making', 'sure', 'project', 'completed', 'efficiently', 'high', 'standard', 'quality', 'safety']",0.640585380016893,0.5234912501354544,0.6489809299060876,1.7422543055892858,0.33034411553571424,1.2049352272857141,0.9821055201607143,0.37849829535714286,3.2759571220892854,1.0812581339821425,1.9797074467857143,2.7205601866785707,1.3261328400714283,0.9798196453928574,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Researchers,Technologists/Researchers,Human factors specialist,Data and R&D,"A Human Factors Specialist focuses on understanding how people interact with systems, products, and environments to improve usability, efficiency, and safety. This role involves studying human behavior, ergonomics, and cognitive processes to design user-friendly interfaces and workspaces. They conduct research, run simulations, and perform usability testing to gather data on user experiences and identify areas for improvement. Human Factors Specialists work in diverse fields such as healthcare, aviation, automotive, and consumer electronics, ensuring that products and systems are tailored to meet the needs and limitations of users, thereby enhancing overall performance and satisfaction.",93,"['human', 'factors', 'specialist', 'focus', 'understanding', 'people', 'interact', 'system', 'product', 'environment', 'improve', 'usability', 'efficiency', 'safety', 'role', 'involves', 'studying', 'human', 'behavior', 'ergonomics', 'cognitive', 'process', 'design', 'user-friendly', 'interface', 'workspace', 'conduct', 'research', 'run', 'simulation', 'perform', 'usability', 'testing', 'gather', 'data', 'user', 'experience', 'identify', 'area', 'improvement', 'human', 'factors', 'specialists', 'work', 'diverse', 'field', 'healthcare', 'aviation', 'automotive', 'consumer', 'electronics', 'ensuring', 'product', 'system', 'tailored', 'meet', 'need', 'limitation', 'user', 'thereby', 'enhancing', 'overall', 'performance', 'satisfaction']",0.6419525276425719,0.5152909187379969,0.6097473521752624,1.8783864082181814,0.3805124076727273,1.3852515149272728,1.2374360781818183,0.6006178598909091,3.3092077686545465,1.4752134666181818,2.097401400363636,3.0014145262181806,1.7057230983818183,1.3663117062181818,Moderate,Moderate,Low,Moderate,Moderate,Moderate,High,High,Moderate,Extremely High,High,High,High,Extremely High
Researchers,Technologists/Researchers,Information assistant,Data and R&D,"An Information Assistant is responsible for providing support in managing and disseminating information within an organization or institution. They handle a variety of tasks including cataloging and organizing data, assisting users in finding information, maintaining databases, and ensuring that information is accessible and up-to-date. Information Assistants often work in libraries, educational institutions, corporate offices, or public service organizations. Their role is crucial in facilitating efficient information flow, supporting research activities, and aiding in decision-making processes by ensuring that accurate and relevant information is readily available to those who need it.",90,"['information', 'assistant', 'responsible', 'providing', 'support', 'managing', 'disseminating', 'information', 'within', 'organization', 'institution', 'handle', 'variety', 'task', 'including', 'cataloging', 'organizing', 'data', 'assisting', 'user', 'finding', 'information', 'maintaining', 'database', 'ensuring', 'information', 'accessible', 'up-to-date', 'information', 'assistants', 'often', 'work', 'library', 'educational', 'institution', 'corporate', 'office', 'public', 'service', 'organization', 'role', 'crucial', 'facilitating', 'efficient', 'information', 'flow', 'supporting', 'research', 'activity', 'aiding', 'decision-making', 'process', 'ensuring', 'accurate', 'relevant', 'information', 'readily', 'available', 'need']",0.6196032031526053,0.5245591832494194,0.6285929032649119,2.064970168673913,0.3047850608260869,0.9416870059130436,0.9684368938043477,0.38887380617391304,3.1285697043695646,1.0605903612608694,1.7056533564347827,2.993819089652174,1.5764026008695653,0.9176521304130436,Low,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,Low,Moderate,Low,High,High,Moderate
Researchers,Technologists/Researchers,Market research interviewer,Data and R&D,"A Market Research Interviewer collects data on consumer preferences, opinions, and behaviors through direct interactions with people. They conduct interviews via phone calls, face-to-face meetings, or online surveys, asking targeted questions to gather valuable insights for businesses and organizations. Their work helps companies understand market trends, measure customer satisfaction, and make informed decisions about product development, marketing strategies, and business operations. Market Research Interviewers must have strong communication skills, an ability to build rapport quickly, and meticulous attention to detail to ensure the accuracy and reliability of the information they collect.",91,"['market', 'research', 'interviewer', 'collect', 'data', 'consumer', 'preference', 'opinion', 'behavior', 'direct', 'interaction', 'people', 'conduct', 'interview', 'via', 'phone', 'call', 'face-to-face', 'meeting', 'online', 'survey', 'asking', 'targeted', 'question', 'gather', 'valuable', 'insight', 'business', 'organization', 'work', 'help', 'company', 'understand', 'market', 'trend', 'measure', 'customer', 'satisfaction', 'make', 'informed', 'decision', 'product', 'development', 'marketing', 'strategy', 'business', 'operation', 'market', 'research', 'interviewers', 'must', 'strong', 'communication', 'skill', 'ability', 'build', 'rapport', 'quickly', 'meticulous', 'attention', 'detail', 'ensure', 'accuracy', 'reliability', 'information', 'collect']",0.6247667168393273,0.5440189787761619,0.6456048153846015,2.2630937987619046,0.37198085187301594,1.0597555531269842,1.1440611272222223,0.45784367131746034,3.204660092412698,1.0061217643492064,1.8966779910634926,2.963333385253968,1.849046259904762,0.9736834209206349,Moderate,High,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,Extremely High,Moderate
Researchers,Technologists/Researchers,Market researcher,Data and R&D,"A Market Researcher is responsible for studying market conditions to identify potential sales opportunities and understand customer needs. They design and conduct surveys, analyze data, and interpret results to provide actionable insights for businesses. Market Researchers use various techniques, such as focus groups, statistical analysis, and trend analysis, to gather information about competitors, pricing strategies, and consumer behavior. Their findings help companies make strategic decisions regarding product launches, marketing campaigns, and overall business development, ensuring that they remain competitive and responsive to market demands.",84,"['market', 'researcher', 'responsible', 'studying', 'market', 'condition', 'identify', 'potential', 'sale', 'opportunity', 'understand', 'customer', 'need', 'design', 'conduct', 'survey', 'analyze', 'data', 'interpret', 'result', 'provide', 'actionable', 'insight', 'business', 'market', 'researchers', 'use', 'various', 'technique', 'focus', 'group', 'statistical', 'analysis', 'trend', 'analysis', 'gather', 'information', 'competitor', 'pricing', 'strategy', 'consumer', 'behavior', 'finding', 'help', 'company', 'make', 'strategic', 'decision', 'regarding', 'product', 'launch', 'marketing', 'campaign', 'overall', 'business', 'development', 'ensuring', 'remain', 'competitive', 'responsive', 'market', 'demand']",0.6091297831310913,0.5301541667234173,0.6307553158672468,2.0520566691206894,0.4022838568965517,0.9597480048965517,1.1211061734310344,0.5425388900689656,3.159954835896551,1.0231892182931035,1.6230162844482758,2.916419432482759,1.6699742273965517,0.9775458802413793,Low,Moderate,Moderate,High,High,Low,High,High,Moderate,Moderate,Low,High,High,Moderate
Researchers,Technologists/Researchers,Media researcher,Data and R&D,"A Media Researcher works within the media and entertainment industry to gather, analyze, and interpret data related to audience preferences and viewing habits. They study television ratings, social media interactions, and other metrics to understand what content resonates with audiences. Media Researchers also track trends in media consumption and provide insights to producers, advertisers, and broadcasters to help them create content that attracts and retains viewers. Their research supports programming decisions, advertising strategies, and overall content development, ensuring that media organizations stay relevant and engaging in a rapidly evolving industry.",90,"['media', 'researcher', 'work', 'within', 'medium', 'entertainment', 'industry', 'gather', 'analyze', 'interpret', 'data', 'related', 'audience', 'preference', 'viewing', 'habit', 'study', 'television', 'rating', 'social', 'medium', 'interaction', 'metric', 'understand', 'content', 'resonates', 'audience', 'media', 'researchers', 'also', 'track', 'trend', 'medium', 'consumption', 'provide', 'insight', 'producer', 'advertiser', 'broadcaster', 'help', 'create', 'content', 'attracts', 'retains', 'viewer', 'research', 'support', 'programming', 'decision', 'advertising', 'strategy', 'overall', 'content', 'development', 'ensuring', 'medium', 'organization', 'stay', 'relevant', 'engaging', 'rapidly', 'evolving', 'industry']",0.6207663189509813,0.49366190492065576,0.633519026715379,2.1919082830350876,0.37062346917543854,0.9258225692280703,1.1471434739824564,0.35958912075438587,3.2749506337368417,0.9235754074561401,1.5472934572105266,2.9863548620175435,1.5371379515087722,0.9146490236315789,Low,Low,Moderate,High,Moderate,Low,High,Moderate,Moderate,Low,Low,High,High,Moderate
Researchers,Technologists/Researchers,Research scientist,Data and R&D,"A Research Scientist conducts scientific studies and experiments to advance knowledge in a specific field of study, such as biology, chemistry, physics, or social sciences. They design and perform experiments, collect and analyze data, and publish their findings in scientific journals. Research Scientists often work in academic institutions, government agencies, or private industries, contributing to innovations and developments that can lead to new technologies, medical treatments, or deeper understanding of complex phenomena. Their work involves rigorous methodology, critical thinking, and collaboration with other scientists and researchers to solve scientific problems and make discoveries.",93,"['research', 'scientist', 'conduct', 'scientific', 'study', 'experiment', 'advance', 'knowledge', 'specific', 'field', 'study', 'biology', 'chemistry', 'physic', 'social', 'science', 'design', 'perform', 'experiment', 'collect', 'analyze', 'data', 'publish', 'finding', 'scientific', 'journal', 'research', 'scientists', 'often', 'work', 'academic', 'institution', 'government', 'agency', 'private', 'industry', 'contributing', 'innovation', 'development', 'lead', 'new', 'technology', 'medical', 'treatment', 'deeper', 'understanding', 'complex', 'phenomenon', 'work', 'involves', 'rigorous', 'methodology', 'critical', 'thinking', 'collaboration', 'scientist', 'researcher', 'solve', 'scientific', 'problem', 'make', 'discovery']",0.6203734539490308,0.561263298929597,0.6311466199345233,2.013614257241379,0.41778705222413803,1.0948687141206896,1.1372526191379313,0.5587377641034483,3.2541126821379307,0.9487399434827586,1.7015650777068962,3.028334340293103,1.444344452413793,0.858089188413793,Low,High,Moderate,Moderate,High,Moderate,High,High,Moderate,Moderate,Low,High,Moderate,Low
Researchers,Technologists/Researchers,Sourcer,Data and R&D,"A Sourcer specializes in identifying and attracting potential candidates for job openings within an organization. They use various methods, such as online job boards, social media, networking events, and direct outreach, to find qualified candidates who meet the specific requirements of a job role. Sourcers play a critical role in the recruitment process by building a pipeline of talent, conducting initial screenings, and ensuring that hiring managers have access to a diverse pool of applicants. Their efforts help organizations fill positions more efficiently and with individuals who possess the right skills and qualifications.",93,"['sourcer', 'specializes', 'identifying', 'attracting', 'potential', 'candidate', 'job', 'opening', 'within', 'organization', 'use', 'various', 'method', 'online', 'job', 'board', 'social', 'medium', 'networking', 'event', 'direct', 'outreach', 'find', 'qualified', 'candidate', 'meet', 'specific', 'requirement', 'job', 'role', 'sourcers', 'play', 'critical', 'role', 'recruitment', 'process', 'building', 'pipeline', 'talent', 'conducting', 'initial', 'screening', 'ensuring', 'hiring', 'manager', 'access', 'diverse', 'pool', 'applicant', 'effort', 'help', 'organization', 'fill', 'position', 'efficiently', 'individual', 'posse', 'right', 'skill', 'qualification']",0.6218233045384028,0.5125233899960461,0.6071960503226314,1.9042189678076924,0.259098931653846,1.0366794434230768,0.9182618993076923,0.34136240592307693,3.146729902576923,1.221477831173077,1.8807552777307694,2.4738336437115382,1.563365548596154,1.0599270074615386,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,High,Moderate,Low,High,Moderate
Researchers,Analysts,Data analyst,Data and R&D,"A Data Analyst is responsible for interpreting complex data sets to help organizations make informed business decisions. They use statistical techniques and software tools to analyze data, identify trends, and generate reports that provide actionable insights. Data Analysts work across various industries, including finance, healthcare, marketing, and technology, turning raw data into meaningful information that can drive strategy, improve processes, and enhance performance. Their role requires strong analytical skills, attention to detail, and the ability to communicate findings clearly to stakeholders.",81,"['data', 'analyst', 'responsible', 'interpreting', 'complex', 'data', 'set', 'help', 'organization', 'make', 'informed', 'business', 'decision', 'use', 'statistical', 'technique', 'software', 'tool', 'analyze', 'data', 'identify', 'trend', 'generate', 'report', 'provide', 'actionable', 'insight', 'data', 'analysts', 'work', 'across', 'various', 'industry', 'including', 'finance', 'healthcare', 'marketing', 'technology', 'turning', 'raw', 'data', 'meaningful', 'information', 'drive', 'strategy', 'improve', 'process', 'enhance', 'performance', 'role', 'requires', 'strong', 'analytical', 'skill', 'attention', 'detail', 'ability', 'communicate', 'finding', 'clearly', 'stakeholder']",0.6322233120346407,0.5177288752898256,0.64841893544689,1.820800967620689,0.369339546275862,0.9799515823448278,1.030977110724138,0.37154597889655155,3.0368913606896557,1.052767294051724,1.803034286275862,2.962198121396551,1.5652949367931037,0.9656663966034483,Moderate,Moderate,High,Moderate,Moderate,Low,Moderate,Moderate,Low,Moderate,Moderate,High,High,Moderate
